CountryName,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Cyprus,51280.51953,52341.35938,52691.42188,51558.35938,50051.42188,50359.61719,51003.97656,51172.98438,50618.23828,51596.45313
Czech Republic,60750.48828,61496.47266,60734.39844,59802.44531,60905.27734,63353.44141,63724.42969,65468.72656,67718.89844,70237.85938
Denmark,89912.95313,91190.39063,91755.07031,92571.61719,93302.82031,93847.03906,93103.03125,96218.75,97049.17188,98470.95313
Djibouti,7414.5,7525.056152,7661.88623,7777.603027,8027.204102,8266.333984,8595.673828,8998.594727,9407.108398,9836.248047
Dominican Republic,29721.77734,29269.01953,29767.73047,30762.21484,32141.10742,32571.56641,33864.87891,34284.61719,35298.09375,36326.68359
Ecuador,21635.44141,22970.07422,23479.47656,24324.60938,24921.23047,23604.35352,22372.70508,22228.29492,22305.58203,22303.59961
"Egypt, Arab Rep.",32345.99805,33505.88672,33601.37109,33594.90234,33926.17969,35916.63672,36804.04688,37439.05078,38285.47266,39313.47266
El Salvador,16171.11621,16494.82617,16443.45117,16457.95508,16975.5293,17351.17383,17454.41016,17263.35547,17419.34375,17562.74414
Equatorial Guinea,96470.15625,98414.25781,101446.4531,93005.64844,88817.36719,77154.29688,68453.11719,63800.32422,59726.47656,56413.83984
Eritrea,3258.226074,3478.968994,3658.059082,3702.058105,3808.12207,3905.85498,3943.729004,3960.711914,3992.680908,4015.323975
Estonia,53124.35156,53986.95313,55064.53516,55527.24219,56739.73047,56299.25781,57296.91406,59057.49609,61342.55859,64494.19141
Eswatini,33134.87109,32519.12305,32658.58594,33403.17969,32581.93945,31362.27734,30497.95703,30097.60547,29410.51953,28880.39844
Ethiopia,2436.846924,2616.113037,2744.810059,2935.403076,3123.280029,3330.011963,3464.762939,3693.302002,3836.322998,3975.827881
Fiji,17620.67188,17671.10742,18129.63867,19189.02539,20588.94727,21443.1875,21500.58398,22148.39844,22820.78906,23569.73047
Finland,87041.41406,88281.21875,86735.61719,87027.47656,86803.10938,87328.67969,88819.67188,90276.76563,91937.48438,93160.17188
France,88393.41406,90155.48438,90199.40625,90883.35938,92352.21875,93150.55469,93704.10938,94504.39063,95846.10156,97407.5
French Polynesia,119101.1641,120812.3672,121282.4141,122397.9922,123933.7734,125645.4766,126963.9766,129009.4375,131712.7188,134305.3438
Gabon,62193.48047,63660.91797,63781.44531,64293.08984,63997.99609,63824.48828,62995.00781,61786.43359,61666.35156,62350.12891
"Gambia, The",5716.770996,5284.013184,5376.112793,5469.26416,5322.469238,5364.129883,5299.724121,5275.589844,5347,5417.394043
Georgia,14228.49707,15216.25391,16123.15234,17035.25195,17486.43945,17844.75977,18675.47461,19735.90234,20733.07031,21660.16406
Germany,85500.64063,86557.39844,86373.14844,85870.05469,86898.32813,87941.90625,88612.19531,89748.19531,91357.92188,92717.6875
Ghana,7701.341797,8654.337891,9274.788086,9798.469727,9996.06543,10218.70996,10325.12891,10906.8623,11423.34473,11848.24512
Greece,69078.95313,67596.89844,68592.25781,69734.86719,70037.29688,68430.38281,67009.65625,66269.88281,65816.22656,67037.24219
Guam,97994.34375,105557.1094,104387.7891,104217.7734,101080.1797,101725.7266,101208,102798.2422,105304.5156,107543.3984
Guatemala,18668.27344,19003.01172,17340.5625,18859.16602,18836.46094,19096.36523,18980.82422,18862.28125,18951.38281,19070.82813
Guinea,4476.766113,4616.897949,4768.89209,4839.359863,4891.835938,4942.306152,5284.371094,5785.934082,5993.910156,6207.518066
Guinea-Bissau,3518.955078,3700.387939,3530.60498,3538.710938,3459.595947,3566.760986,3682.585938,3785.861084,3828.208008,3874.310059
Guyana,17534.25391,18154.98633,18807.73828,19455.92383,19855.85742,20180.7793,20507.37305,20772.78125,21259.11523,21813.02539
Haiti,4230.212891,4314.111816,4285.641113,4356.513184,4359.321777,4302.059082,4263.90918,4211.498047,4213.054199,4216.810059
Honduras,10156.58008,10620.83203,10809.86523,10349.42285,10288.57422,10284.46094,10509.81152,10620.47363,10770.21484,10923.4043
"Hong Kong SAR, China",96559.59375,98598.26563,98453,99507.90625,101705.2266,103400.1953,105111.5234,108376.2109,111326.6328,114263.6563
Hungary,59087.92188,59753.625,57912.75781,58157.19922,57393.63672,57630.80469,56997.88281,58318.79297,60702.30469,62492.82813
Iceland,70568.6875,71366.72656,70920.70313,72309.39063,71981.21875,73175.14063,76459.84375,79511.625,82067.78906,84533.72656
India,12078.42969,12871.39258,13572.53516,14187.64746,14953.8418,15897.90137,16740.42578,17546.67188,18564.6875,19588.89258
Indonesia,18778.97656,19465.04297,20011.11133,20967.40234,21679.18164,22589.06445,23440.9668,23933.19531,24848.96875,25804.92773
"Iran, Islamic Rep.",62806.61719,63442.24609,58619.16016,56885.48828,59448.74219,56766.44922,62422.22656,64305.98438,66427.25,68776.09375
Iraq,56450.35938,58420.20313,64012.11719,66508.67969,64119.53906,64976.51563,70445.02344,67145.3125,66731.84375,66629.16406
Ireland,101661.2734,106443.4766,107136.5234,106391.3203,113387.8281,139273.4688,142679.25,150487.3906,155251.7656,157287.9219
Israel,72782.11719,74008.57813,73284.50781,74515.89844,75238.09375,75914.51563,77358.64844,78308.32031,79560.03906,81156.47656
Italy,95046.92969,95753.40625,93740.35156,94494.57031,94859.4375,95228.39063,94865.72656,95245.08594,95991.40625,96468.89063
Jamaica,19304.86914,19504.16016,19433.21875,19330.4082,18808.36523,18685.44531,18409.44531,17941.66992,17761.50586,18143.57617
Japan,72101.09375,72143.35938,73422.17188,74234.21094,73962.07031,74642.35938,74617.14063,75235.01563,76418.96094,77383.89844
Jordan,41052.46484,40687.24219,40025.26953,40213.67969,39134.64453,38844.60156,39183.61719,38573.6875,38645.35547,38873.82422
Kazakhstan,39732.97656,42053.01172,43527.60156,45604.10547,46918.29688,47094.53906,47346.80078,49018.78516,50619.10938,52588.83594
Kenya,7309.508789,7496.181152,7573.306152,7759.61084,7885.237793,8071.657227,8261.676758,8358.25,8562.419922,8818.274414
"Korea, Dem. People¡¯s Rep.",2462.329102,2517.201904,2537.081055,2586.168945,2623.653076,2625.156006,2622.62207,2652.144043,2695.136963,2745.245117
"Korea, Rep.",61835.76172,63144.20313,63568.92578,64545.83984,65294.59766,66477.92188,67820.8125,69178.89063,70802.22656,72270.20313
Kuwait,138329.5469,141127.8594,139930.3125,131818.7344,124416.9766,118023.8672,119817.4531,114338.2266,116024.5938,119560.6563
Kyrgyz Republic,6830.438965,7076.171875,7037.100098,7878.070801,8094.438965,8271.791992,8628.59668,8898.162109,9166.714844,9523.134766
Lao PDR,8544.204102,9022.351563,9533.600586,10087.64648,10636.84863,11187.95117,11726.18652,12277.72656,12810.26855,13353.17871
Latvia,44283.76953,46162.34375,47135.22656,47555.84766,48678.45313,49575.22266,50763.64063,52725.44531,55844.1875,59081.03125
Lebanon,50520.19922,47824.20703,45704.03516,43600.57422,41707.47266,39994.60938,39381.64844,39226.05859,39901.55469,41021.07422
Lesotho,7656.475098,8023.361816,8287.037109,8264.90918,8331.65918,8372.211914,8403.249023,8645.211914,8774.958984,8914.851563
Liberia,2240.092041,2348.784912,2465.269043,2610.707031,2553.611084,2479.504883,2367.395996,2352.897949,2396.022949,2453.48999
Libya,99792.39844,37351.26953,84696.84375,71485.5,52595.84375,47080.41406,45170.92188,57371.5625,65345.25391,72134.78125
Lithuania,52355.09375,53779.57813,54954.38281,56445.79688,57624.40625,58256.59375,58114.65625,59911.02344,61552.85938,64221.13281
Luxembourg,204038.9063,205377.2656,195750.4063,198238.4531,202122.9688,204110.1563,211352.3906,210735.7188,216165.3906,221452.9219
"Macao SAR, China",163536.375,192115.5156,204261.8438,220934.6094,211138.9844,163111.9375,161411.8281,174057.3906,181691.9688,187763.5938
Madagascar,2878.336914,2770.766113,2730.805908,2723.310059,2749.353027,2777.065918,2802.019043,2826.704102,2871.913086,2927.535889
Malawi,2651.042969,2687.946045,2636.238037,2666.413086,2720.509033,2700.230957,2670.330078,2678.539063,2701.013916,2733.894043
Malaysia,50185.84375,50381.77734,50904.37891,50772.20313,52150.37109,53444.57031,54808.85938,56939.10156,58687.34375,60187.38281
